candidate_id,location,rider_profile,current_lts,target_lts,candidate_length_m,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,baseline_weighted_route_cost,intervention_weighted_route_cost,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,minimum_cost_reduction,routing_origins,runtime_seconds,workers,experiment
C007,Longwood Avenue,experienced_adult,3.0,2,92.03529538208026,2,42319,38188,663,50000.0,45165.0,768.0,223826561.28193164,223799434.62328583,27126.658645815955,0.0121194993527364,-2026.2963968710565,0.0,22269,121.4801690010354,16,od_seed_684
C008,Columbia Road,child,3.0,2,69.25087733144694,1,42319,38188,514,50000.0,45165.0,544.0,270751049.4529184,270698417.0129583,52632.43996009693,0.0194394223277975,62261.15669377703,0.0,22269,135.32139969500713,16,od_seed_684
C008,Columbia Road,low_confidence_adult,3.0,2,69.25087733144694,1,42319,38188,549,50000.0,45165.0,582.0,276489067.2796048,276434778.7247431,54288.55486166431,0.0196349734171456,12754.20020502045,0.0,22269,131.49806953896768,16,od_seed_684
C008,Columbia Road,typical_adult,3.0,2,69.25087733144694,1,42319,38188,381,50000.0,45165.0,402.0,247990330.8889263,247966161.18449712,24169.70442916629,0.0097462285495283,5687.109092260588,0.0,22269,311.9846070229541,16,od_seed_684
C008,Columbia Road,experienced_adult,3.0,2,69.25087733144694,1,42319,38188,263,50000.0,45165.0,281.0,223826561.28193164,223818884.78519636,7676.496735268639,0.0034296629905328,189.49922872062928,0.0,22269,1375.3419442400336,16,od_seed_684
C009,Massachusetts Avenue,child,3.0,2,40.1636716253826,1,42319,38188,592,50000.0,45165.0,903.0,270751049.4529184,270696695.98936814,54353.46355024139,0.0200750703127719,151.4322809695317,0.0,22269,108.2196559039876,16,od_seed_684
C009,Massachusetts Avenue,low_confidence_adult,3.0,2,40.1636716253826,1,42319,38188,590,50000.0,45165.0,901.0,276489067.2796048,276438549.3001193,50517.97948553238,0.0182712394318452,76.77787289396971,0.0,22269,102.02468319213948,16,od_seed_684
C009,Massachusetts Avenue,typical_adult,3.0,2,40.1636716253826,1,42319,38188,617,50000.0,45165.0,928.0,247990330.8889263,247957033.8342884,33297.05463789322,0.0134267551958736,-1036.5461946532191,0.0,22269,116.12192405480891,16,od_seed_684
C009,Massachusetts Avenue,experienced_adult,3.0,2,40.1636716253826,1,42319,38188,633,50000.0,45165.0,945.0,223826561.28193164,223811402.01683,15159.265101618872,0.0067727730859092,-123.6347516826752,0.0,22269,145.52057659998536,16,od_seed_684
C010,South Service Road,child,4.0,2,53.39166060873392,1,42319,38188,245,50000.0,45165.0,289.0,270751049.4529184,270681613.5982967,69435.854621662,0.0256456456076401,-3.0850566545836955e-10,0.0,22269,159.59583915001713,16,od_seed_684
C010,South Service Road,low_confidence_adult,4.0,2,53.39166060873392,1,42319,38188,245,50000.0,45165.0,289.0,276489067.2796048,276421174.44397473,67892.83563006988,0.0245553418433763,-3.235975931659141e-10,0.0,22269,94.91498073609546,16,od_seed_684
C010,South Service Road,typical_adult,4.0,2,53.39166060873392,1,42319,38188,245,50000.0,45165.0,289.0,247990330.8889263,247948669.3761533,41661.51277299831,0.0167996520766199,-2.9416868940757013e-10,0.0,22269,105.9546364620328,16,od_seed_684
C010,South Service Road,experienced_adult,4.0,2,53.39166060873392,1,42319,38188,245,50000.0,45165.0,289.0,223826561.28193164,223801101.46857035,25459.813361277644,0.0113747953841852,-3.2000402327980737e-10,0.0,22269,127.50985044287518,16,od_seed_684
